Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009,1,1,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
2009,1,2,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
2009,1,3,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562,0.388509106130562
2009,1,4,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
2009,1,5,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
2009,1,6,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
2009,1,7,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327,0.321901317618327
2009,1,8,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
2009,1,9,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
2009,1,10,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024,0.3024
